K jazykové a slohové stránce Tylových divadelních her /,,,1954,"['Tyl, Josef Kajetán,']","['stylistika', 'stylistika']",['články']
"Jan ze Středy a M. Řehoř z Uh. Brodu, domnělý autor Quadripartitu /",,,1956,"['Jan,', 'Řehoř z Uherského Brodu,', 'Tříška, Josef,']","['bajka', 'bajka', 'bajka', 'bajka']",['polemiky']
Lidový jazyk v Stroupežnického Našich furiantech /,,,1954,"['Stroupežnický, Ladislav,']","['spisovný jazyk', 'spisovný jazyk', 'spisovný jazyk', 'spisovný jazyk']",['referáty']
Hus a Viklef /,,,1956,"['Hus, Jan,', 'Wycliffe, John,', 'Loserth, Johann,']","['středověk', 'středověk', 'středověk']",['studie']
Zdeněk Nejedlý a theorie umění /,,,1953,"['Nejedlý, Zdeněk,', 'Smetana, Bedřich,']","['teorie umění', 'teorie umění', 'teorie umění', 'teorie umění', 'teorie umění', 'teorie umění', 'teorie umění']",['studie']
Náčrt jazykového a stylistického rozboru Řezáčovy Bitvy /,,,1957,"['Řezáč, Václav,']","['stylistika', 'stylistika']",['studie']
Oldřich Kříž z Telče /,,,1956,"['Kříž, Oldřich z Telče,', 'Hus, Jan,']","['rukopisy', 'rukopisy', 'rukopisy', 'rukopisy', 'rukopisy', 'rukopisy', 'rukopisy']",['studie']
Nerudův thematický a jazykový program v Poetických besedách /,,,1954,"['Neruda, Jan,', 'Špindler, Ervín,', 'Heyduk, Adolf,', 'Vrchlický, Jaroslav,', 'Quis, Ladislav,']","['poezie', 'poezie']",['články']
K překladatelské teorii a praxi /,,,1957,"['Słowacki, Juliusz,', 'Voisine-Jechová, Hana,', 'Holan, Vladimír,']","['překladatelství', 'překladatelství']",['články']
Revoluční humanismus Zdeňka Nejedlého /,,,1953,"['Nejedlý, Zdeněk,', 'Smetana, Bedřich,', 'Hus, Jan,', 'Havlíček Borovský, Karel,', 'Jirásek, Alois,', 'Masaryk, Tomáš Garrigue,', 'Fučík, Julius,', 'Goethe, Johann Wolfgang von,', 'Lenin, Vladimir Il‘jič,', 'Stalin, Iosif Vissarionovič,']","['humanismus', 'humanismus', 'humanismus', 'humanismus', 'humanismus', 'humanismus', 'humanismus']",['studie']
Brněnské příspěvky k životopisu Josefa Dobrovského /,,,1953,"['Dobrovský, Josef,']","['moravika', 'moravika', 'moravika']",['biografie']
Quodlibetní questie kodexu UK X E 24 /,,,1955,"['Hus, Jan,', 'Matěj z Knína,', 'Šimon z Tišnova,', 'Prokop z Kladrub,', 'Ondřej z Brodu,']","['disputace', 'disputace', 'disputace', 'disputace', 'disputace', 'disputace', 'disputace', 'disputace']",['studie']
O jazyce knih pro mládež /,,,1954,"['Mareš, Jan,', 'Pleva, Josef Věromír,', 'Lada, Josef,', 'Morávek, Jan,']","['čeština', 'čeština']",['referáty']
Drobnosti o Jos. Dobrovském na Moravě /,,,1953,"['Dobrovský, Josef,', 'Salm-Reifferscheidt, Hugo František,']","['moravika', 'moravika', 'moravika', 'moravika', 'moravika']",['biografie']
Olomoucké probuzenecké časopisy pro ženy a pro mládež /,,,1953,"['Procházková, Miloslava,']","['moravika', 'moravika', 'moravika', 'moravika']",['studie']
Polopřímá řeč v moderní české próze /,,,1958,"['Trávníček, František,', 'Haller, Jiří,', 'Bally, Charles,']","['stylistika', 'stylistika']",['studie']
Lidová píseň a její tradice /,,,1953,"['Bonuš, František,']","['lidové písně', 'lidové písně']",['recenze']
Překladatelská nedorozumění /,,,1958,"['Stiebitz, Ferdinand,', 'Vaňorný, Otmar,', 'Puškin, Aleksandr Sergejevič,', 'Nechvátal, František,']","['překladatelská činnost', 'překladatelská činnost']",['články']
Zajímavá knížka /,,,1955,"['Poch, Josef,', 'Seydl, Josef Antonín,']","['biografie', 'biografie', 'biografie', 'biografie']",['recenze']
"Horácký zpěvník. Sbírka horáckých lidových písní z Třebíčska, Moravskokrumlovska a Znojemska /",,,1955,"['Bělík, Vratislav,']","['lidové písně', 'lidové písně', 'lidové písně']",['recenze']
Filosofický význam díla Josefa Dobrovského /,,,1954,"['Dobrovský, Josef,', 'Josef', 'Marie Terezie,', 'Masaryk, Tomáš Garrigue,', 'Jungmann, Josef,', 'Engels, Friedrich,', 'Helfert, Augustin,', 'Ungar, Karel Rafael,', 'Veršauser, Bernard Antonín,', 'Krčma, Václav', 'Jan Nepomucký,']","['poznání', 'poznání', 'poznání', 'poznání', 'poznání', 'poznání', 'poznání', 'poznání', 'poznání']",['studie']
Kdo je Kozdra v staročeském Sporu duše s tělem : akad. F. Ryšánkovi k osmdesátinám. /,,,1957,"['Ryšánek, František,', 'Kozdra', 'Khosrau', 'Jakobson, Roman,']","['jména', 'jména', 'jména', 'jména', 'jména']",['poznámky']
Rukopisný sborník humanisty Jana Rosina Žateckého /,,,1957,"['Žatecký, Jan Rosinus,', 'Procházka, František Faustin,', 'Jeník z Bratřic, Jan,']","['humanismus (literatura)', 'humanismus (literatura)', 'humanismus (literatura)']",['stati']
"Jan Amos Komenský, Duchovní písně /",,,1953,"['Komenský, Jan Amos,', 'Škarka, Antonín,']","['hymnologie', 'hymnologie']",['recenze']
Obřanská selanka obrozenská /,,,1955,"['Fryčaj, Tomáš,', 'Bezstarosti, Ignát,', 'Švanda, Josef,', 'Kynský, Dominik František,']","['moravika', 'moravika', 'moravika']",['stati']
Oslavy dvoustého výročí narození Josefa Dobrovského /,,,1954,"['Dobrovský, Josef,', 'Havránek, Bohuslav,', 'Trávníček, František,', 'Peciar, Štefan,']","['konference', 'konference']",['zprávy']
"Staročeské vojenské řády : Hájek, Vlček, Žižka, listy a kronika /",,,1953,"['Svejkovský, František,', 'Durdík, Jan,', 'Žižka z Trocnova, Jan,', 'Hájek z Hodětína, Jan,', 'Vlček z Čenova, Václav,']","['vojenství', 'vojenství']",['recenze']
O jazyce literárních děl Aloise Jiráska /,,,1954,"['Jirásek, Alois,', 'Horálek, Karel,', 'Havránek, Bohuslav,', 'Hodura, Quido,', 'Mostecký, Václav,']",['čeština'],['analýzy']
Dosud neznámé humanistické tisky v brněnské universitní knihovně /,,,1957,"['Galli, David,', 'Tkadlec ze Dvora Králové nad Labem, Václav [= Venceslaus Textorius Curius]', 'Campanus Vodňanský, Jan,']","['humanismus (literatura)', 'humanismus (literatura)', 'humanismus (literatura)']",['články']
List prof. Jana Gebauera prof. Ignáci Bohuslavovi Maškovi /,,,1957,"['Gebauer, Jan,', 'Mašek, Ignác B.,']",['dopisy'],['poznámky']
Középkori cseh Oklevelek : středověké české listiny /,,,1953,"['Kniezsa, István,', 'Bottló, Belo,', 'Fügedi, Erik,', 'Király, Péter,']","['bohemika', 'bohemika', 'bohemika']",['recenze']
Za marxisticko-leninskou estetiku /,,,1954,"['Nejedlý, Zdeněk,', 'Stalin, Iosif Vissarionovič,', 'Černyševskij, Nikolaj Gavrilovič,']","['marxismus-leninismus', 'marxismus-leninismus', 'marxismus-leninismus', 'marxismus-leninismus', 'marxismus-leninismus']",['studie']
Intonace a verš /,,,1958,"['Mukařovský, Jan,', 'Zich, Otakar,', 'Horálek, Karel,']","['versologie', 'versologie']",['studie']
K otázce zákonů realistického umění /,,,1954,"['Kemenov, Vladimir Semenovič,', 'Engels, Friedrich,', 'Stalin, Iosif Vissarionovič,']","['realismus v umění', 'realismus v umění', 'realismus v umění']",['diskuse']
K novému vydání Dalimilovy kroniky /,,,1958,"['Dalimil,', 'Havránek, Bohuslav,', 'Daňhelka, Jiří,', 'Jireček, Josef,']",['textologie'],['glosy']
K Wolkrovým statím na obranu marxismu /,,,1954,"['Wolker, Jiří,', 'Neumann, Stanislav Kostka,', 'Lenin, Vladimir Il‘jič,', 'Masaryk, Tomáš Garrigue,', 'Rádl, Emanuel,', 'Píša, Antonín Matěj,', 'Kalista, Zdeněk,']","['socialismus', 'socialismus', 'socialismus', 'socialismus', 'socialismus', 'socialismus', 'socialismus', 'socialismus', 'socialismus', 'socialismus', 'socialismus']",['studie']
Nad výborem ze staré české literatury /,,,1958,"['Havránek, Bohuslav,', 'Hrabák, Josef,']","['textologie', 'textologie']",['studie']
Sborník studií o osobnosti a díle Josefa Dobrovského /,,,1954,"['Dobrovský, Josef,', 'Havránek, Bohuslav,', 'Dolanský, Julius,']",['lingvistika'],['recenze']
O jazyk literárních děl /,,,1954,"['Pletzer, Karel,', 'Jirásek, Alois,', 'Seifert, Jaroslav,', 'Vrchlický, Jaroslav,', 'Glazarová, Jarmila,', 'Vančura, Vladislav,', 'Jungmann, Milan,', 'Petrmichl, Jan,']","['česká poezie', 'česká poezie']",['referáty']
Překladatelská teorie a praxe /,,,1954,"['Vrchlický, Jaroslav,', 'Fischer, Otokar,']",['překladatelská činnost'],['referáty']
Žeň jubilea Josefa Dobrovského 1753-1953 /,,,1954,"['Dobrovský, Josef,']","['edice', 'edice', 'edice']",['referáty']
"Jaroslav Vlček, Dějiny české literatury I.-II. - Jaroslav Vlček, Kapitoly z dějin české literatury /",,,1953,"['Vlček, Jaroslav,', 'Svejkovský, František,', 'Šebesta, Jakub,', 'Dostál, Vladimír,', 'Stejskal, Václav,']",['dějiny české literatury'],['recenze']
"František Buriánek, Petr Bezruč /",,,1954,"['Buriánek, František,', 'Bezruč, Petr,']","['monografie', 'monografie']",['recenze']
"Petr Bezruč, Slezské písně /",,,1954,"['Bezruč, Petr,']",['česká poezie'],['recenze']
"Petr Bezruč, Dyje a Dunaj /",,,1954,"['Bezruč, Petr,']",['česká poezie'],['recenze']
"Petr Bezruč, Maryčka Magdonova /",,,1954,"['Bezruč, Petr,', 'Svolinský, Karel,']",['česká poezie'],['recenze']
O jazyce literárních děl /,,,1954,"['Bauer, Jaroslav,', 'Jelínek, Milan,', 'Večerka, Radoslav,', 'Trávníček, František,']","['stylistika', 'stylistika']",['recenze']
