,title,author,author code,year,figures,description,genre
5681,Noli inspicere dentes equi donati /,"Demetz, Peter,",jk01022197,1956,"Kolaja, J.;Javor, Pavel,",existencialismus;literární teorie,polemiky
5682,Karel Čapek: poslední období 1935-1938 /,"Harkins, William Edward",jo2003193223,1957,"Čapek, Karel,",osobnosti,studie
5683,Poezie Františka Hrubína /,"Tigrid, Pavel,",jk01132374,1957,"Hrubín, František,",osobnosti,recenze
5684,Sborník k šedesátinám Romana Jakobsona /,"Kučera, H.",,1957,"Jakobson, Roman,",osobnosti,medailony;recenze
5685,Milý redaktore! /,"Kolár, Jan M.,",jo2002101666,1957,"Kolár, Jan M.,;Tigrid, Pavel,",exilový tisk;redaktoři,korespondence
5686,Zemřel Zdeněk Němeček.,,,1957,"Němeček, Zdeněk,",osobnosti,nekrology
5687,Francouzská kronika /,"Čep, Jan,",jk01021241,1957,"Camus, Albert,;Sartre, Jean-Paul,;Sagan, Françoise,",finská literatura,články
5688,Neznámý román Proustův /,"Kučera, Jan Pavel,",jn99240000579,1956,"Proust, Marcel,",finská literatura,analýzy
5689,Jean-Paul Sartre a komunisté /,"Heist, Walter",,1957,"Sartre, Jean-Paul,",finská literatura,články
5690,Tři romány Wolfganga Koeppena /,"Demetz, Peter,",jk01022197,1956,"Koeppen, Wolfgang,",maďarská literatura,recenze
5691,Knihy a politika /,J. J.,,1957,,polská literatura;polští spisovatelé;exilový tisk;exiloví spisovatelé,zprávy
5692,Ctnosti inženýra Lopatkina : (Poznámky k románu Vladimíra Dudinceva.) /,"Korda, Ivan,",,1957,"Dudincev, Vladimir Dmitrijevič,;Němeček, Zdeněk,",pseudonym;ruská literatura,recenze
5693,Diplomatická předehra Bílé hory /,"Odložilík, Otakar,",jk01090958,1959,"Polišenský, Josef,",literatura,polemiky
5694,Sjezd překladatelů /,"Tigrid, Pavel,",jk01132374,1958,"Kuncewiczowa, Maria,",literární druhy;německá literatura,referáty
5695,Vánoční /,"Tigrid, Pavel,",jk01132374,1958,,česká literatura,glosy
5696,Od Bareše k Rybákovi /,"Tigrid, Pavel,",jk01132374,1959,,literární druhy;česká literatura,komentáře
5697,...v lese si píská.,,,1959,,česká literatura;periodika,glosy
5698,V rozpracovaném románu... /,"Hostovský, Egon,",jk01042403,1958,"Hostovský, Egon,",osobnosti,poznámky
5699,Milý pane redaktore... /,"Den, Petr,",jk01022204,1958,"Kárnet, Jiří,;Tumlíř, Jan Vladimír,",literatura;osobnosti,polemiky
5700,Z různých nepříjemných úkolů... /,"Kárnet, Jiří,",jk01053072,1959,"Kárnet, Jiří,",osobnosti,poznámky
5701,Za Pavlem Koldou /,"Tigrid, Pavel,",jk01132374,1958,"Kolda, Pavel",osobnosti,nekrology
5702,Smrt básníka.,,,1958,"Nezval, Vítězslav,",osobnosti,poznámky
5703,"Tomu tenorákovi v bílým saku, co to tak slavně proslovil : (Na okraj románu Josefa Škvoreckého Zbabělci.) /","Tumlíř, Jan Vladimír,",jk01140402,1959,"Škvorecký, Josef,",literatura;osobnosti,eseje
5704,Český román zoufalství /,"Den, Petr,",jk01022204,1958,"Valenta, Edvard,",osobnosti,recenze
5705,Román Jiřího Voskovce...,,,1958,"Voskovec, Jiří,",osobnosti,poznámky
5706,Walt Whitman a Jaroslav Vrchlický /,"Harkins, William Edward",jo2003193223,1958,"Vrchlický, Jaroslav,;Whitman, Walt,",bulharská literatura;osobnosti,studie
5707,Dva dopisy : Milý Howarde... - Milý Borisi... /,"Polevoj, Boris Nikolajevič,",jn19981002009,1958,"Fast, Howard,",komunismus;bulharská literatura;ruská literatura,dokumenty
5708,Rozhovor s Ignazio Silonem /,M. B.,,1958,"Silone, Ignazio,",literární druhy;japonská literatura,rozhovory
5709,Tři knihy /,"Tumlíř, Jan",,1958,"Majewski, Paweł,",lužickosrbská literatura;německá literatura,recenze
5710,A v Polsku,,,1959,,německá literatura,glosy
5711,S břehu na břeh /,"Hłasko, Marek,",jo20000076527,1958,"Hłasko, Marek,;Kárnet, Jiří,",německá literatura,rozhovory
5712,Příklad /,"Tigrid, Pavel,",jk01132374,1958,"Słonimski, Antoni,;Pasternak, Boris Leonidovič,",německá literatura,glosy
5713,Návštěvou u Borise Pasternaka /,"Ruge, Gerd",,1958,"Pasternak, Boris Leonidovič,;P., H.",ruská literatura,reportáže
5714,Doktor Živago /,"Hampshire, Stuart,",xx0060500,1958,"Pasternak, Boris Leonidovič,",ruská literatura,recenze
5715,Marx na Hradčanech : (Pokus o pohled na československou otázku deset let po únoru.) /,"Tigrid, Pavel,",jk01132374,1960,,česká literatura;literatura,eseje
5716,Problém svobody v lidské kultuře /,"Brouk, Bohuslav,",jk01013179,1959,,literatura,eseje
5717,"PEN, párky a puma /","Tigrid, Pavel,",jk01132374,1959,,literární druhy,referáty
5718,"""Probuďme milióny."" /",P. M.,,1959,,česká literatura;literární konference;časopisy;kongresy;kultura a politika,komentáře
5719,Česká próza ve stalinské pasti,,,1959,"Jungmann, Milan,",česká literatura,komentáře
5720,R.U.R. a Vzpoura strojů A.N. Tolstého /,"Harkins, William Edward",jo2003193223,1959,"Čapek, Karel,;Tolstoj, Aleksej Nikolajevič,",ruská literatura;česká literatura;osobnosti,studie
5721,Hrubín a Lustig /,"Den, Petr,",jk01022204,1959,"Hrubín, František,;Lustig, Arnošt,",osobnosti,recenze
5722,Francouzský román českého autora /,"Pistorius, Jiří,",jk01093198,1959,"Kolár, Jan M.,",finská literatura;osobnosti,recenze
